token,speaker,class,vowel,coda,Stimulus,vowelcoda,classvowelcoda,word,wavname,textgridname,duration,measurement_no,f1,f2,f3,f4,f5,f1.tag,f2.tag,f3.tag,f4.tag,f5.tag,f1wtag,f2wtag,f3wtag,f4wtag,f5wtag,f1ntag,f2ntag,f3ntag,f4ntag,f5ntag
22,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M1.wav,bird_M1.TextGrid,0.213471882,0,466.819222,1194.508009,1812.64637,3316.159251,3878.220141,,,1,1,,,,1812.64637,3316.159251,,,,,,
22,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M1.wav,bird_M1.TextGrid,0.213471882,1,480.5491991,1276.887872,1784.543326,3344.262295,3892.271663,,,,1,,,,,3344.262295,,,,,,
22,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M1.wav,bird_M1.TextGrid,0.213471882,2,480.5491991,1290.617849,1784.543326,3330.210773,3906.323185,,,,1,,,,,3330.210773,,,,,,
22,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M1.wav,bird_M1.TextGrid,0.213471882,3,535.4691076,1331.80778,1794.39422,3330.210773,3906.323185,,,,1,,,,,3330.210773,,,,,,
22,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M1.wav,bird_M1.TextGrid,0.213471882,4,535.4691076,1331.80778,1798.594848,3330.210773,3892.271663,,,,1,,,,,3330.210773,,,,,,
22,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M1.wav,bird_M1.TextGrid,0.213471882,5,535.4691076,1386.727689,1798.594848,3302.107728,3880.335983,,,,1,,,,,3302.107728,,,,,,
22,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M1.wav,bird_M1.TextGrid,0.213471882,6,508.0091533,1414.187643,1798.594848,3302.107728,3878.220141,,,,1,,,,,3302.107728,,,,,,
22,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M1.wav,bird_M1.TextGrid,0.213471882,7,480.5491991,1414.187643,1798.594848,3302.107728,3864.168618,,,,1,,,,,3302.107728,,,,,,
22,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M1.wav,bird_M1.TextGrid,0.213471882,8,466.819222,1414.187643,1798.594848,3302.107728,3850.117096,,,,1,,,,,3302.107728,,,,,,
22,M1,M,/u/,vrc,hurt,uvrc,Muvrc,bird,bird_M1.wav,bird_M1.TextGrid,0.213471882,9,466.819222,1427.91762,1784.543326,3302.107728,3822.014052,,,,1,,,,,3302.107728,,,,,,
