token,speaker,class,vowel,coda,Stimulus,vowelcoda,classvowelcoda,word,wavname,textgridname,duration,measurement_no,f1,f2,f3,f4,f5,f1.tag,f2.tag,f3.tag,f4.tag,f5.tag,f1wtag,f2wtag,f3wtag,f4wtag,f5wtag,f1ntag,f2ntag,f3ntag,f4ntag,f5ntag
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,0,508.0091533,919.9084668,2526.315789,3405.034325,3967.963387,,,1,1,1,,,2526.315789,3405.034325,3967.963387,,,,,
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,1,535.4691076,919.9084668,2526.315789,3418.764302,3954.23341,,,,1,1,,,,3418.764302,3954.23341,,,,,
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,2,549.1990847,919.9084668,2526.315789,3418.764302,3940.503432,,,,,1,,,,,3940.503432,,,,,
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,3,549.1990847,919.9084668,2526.315789,3399.101012,3940.503432,,,,,1,,,,,3940.503432,,,,,
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,4,549.1990847,919.9084668,2526.315789,3373.666286,3940.503432,,,,,1,,,,,3940.503432,,,,,
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,5,549.1990847,919.9084668,2553.775744,3350.114416,3967.963387,,,,,,,,,,,,,,,
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,6,549.1990847,919.9084668,2759.7254,3391.304348,3981.693364,,,,,,,,,,,,,,,
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,7,549.1990847,919.9084668,2829.439001,3473.684211,3995.423341,,,,,,,,,,,,,,,
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,8,535.4691076,919.9084668,2869.565217,3624.713959,4036.613272,,,,,1,,,,,4036.613272,,,,,
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,9,508.0091533,906.1784897,2855.83524,3709.535254,4101.77158,,,,,1,,,,,4101.77158,,,,,
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,10,460.8879077,881.2083337,2855.83524,3844.393593,4160.183066,,,1,1,1,,,2855.83524,3844.393593,4160.183066,,,,,
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,11,439.3592677,878.7185355,2869.565217,3899.313501,4173.913043,,,1,1,1,,,2869.565217,3899.313501,4173.913043,,,,,
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,12,425.6292906,864.9885584,2910.755149,3899.313501,4187.643021,1,1,1,2,1,425.6292906,864.9885584,2910.755149,,4187.643021,,,,3899.313501,
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,13,425.6292906,864.9885584,2899.249333,3885.583524,4187.643021,1,1,1,2,2,425.6292906,864.9885584,2899.249333,,,,,,3885.583524,4187.643021
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,14,453.0892449,864.9885584,2855.83524,3871.853547,4187.643021,1,1,2,2,2,453.0892449,864.9885584,,,,,,2855.83524,3871.853547,4187.643021
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,15,466.819222,864.9885584,2774.036185,3871.853547,4187.643021,1,1,2,2,2,466.819222,864.9885584,,,,,,2774.036185,3871.853547,4187.643021
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,16,480.5491991,864.9885584,2711.471253,3885.583524,4187.643021,1,1,2,2,2,480.5491991,864.9885584,,,,,,2711.471253,3885.583524,4187.643021
30,W1,W,/u/,vrc,hurt,uvrc,Wuvrc,bird,bird_W1.wav,bird_W1.TextGrid,0.216776428,17,480.5491991,836.5930391,2649.551025,3885.583524,4187.643021,1,1,2,2,2,480.5491991,836.5930391,,,,,,2649.551025,3885.583524,4187.643021
