speaker,td,morph_class,voicing,task,fol_seg,word
190314AR,retained,past-tense,D,Read speech,cons,disused
190314AR,deleted,monomorpheme,T,Read speech,cons,west
190314AR,retained,past-tense,D,Map description,cons,ruined
190314AR,retained,past-tense,T,Read speech,pause,parked
190314AR,retained,past-tense,D,Read speech,cons,owned
190314AR,deleted,monomorpheme,T,Read speech,cons,east
190314AR,retained,past-tense,D,Read speech,cons,ruined
190314AR,retained,monomorpheme,D,Map description,cons,old
190314AR,deleted,monomorpheme,T,Map description,cons,highest
190314AR,retained,monomorpheme,T,Map description,pause,viewpoint
190314AR,retained,monomorpheme,T,Map description,cons,extinct
190314AR,retained,monomorpheme,D,Map description,pause,island
190314AR,retained,monomorpheme,D,Map description,pause,field
190314AR,retained,monomorpheme,D,Map description,cons,old
190314AR,retained,monomorpheme,D,Map description,cons,old
190314AR,retained,monomorpheme,T,Map description,vowel,forest
190314AR,retained,monomorpheme,T,Map description,cons,forest
190314AR,retained,past-tense,D,Map description,cons,owned
190314AR,deleted,monomorpheme,T,Map description,cons,east
190314AR,retained,monomorpheme,T,Map description,cons,east
190314AR,deleted,monomorpheme,T,Map description,cons,east
190314AR,retained,monomorpheme,D,Map description,cons,diamond
190314AR,retained,monomorpheme,D,Map description,pause,mind
190314AR,retained,monomorpheme,T,Map description,cons,forest
190314AR,retained,monomorpheme,D,Map description,pause,beyond
190314AR,retained,monomorpheme,T,Map description,pause,nest
190314AR,retained,monomorpheme,D,Map description,cons,gold
190314AR,deleted,past-tense,T,Map description,cons,collapsed
190314AR,deleted,monomorpheme,T,Read speech,cons,forest
190314AR,deleted,monomorpheme,T,Read speech,cons,east
190314AR,retained,monomorpheme,D,Read speech,cons,old
190314AR,retained,monomorpheme,D,Read speech,pause,gold
190314AR,deleted,monomorpheme,T,Map description,pause,past
190314AR,retained,monomorpheme,D,Map description,pause,pond
190314AR,retained,past-tense,D,Map description,cons,farmed
190314AR,retained,monomorpheme,D,Map description,pause,land
190314AR,deleted,monomorpheme,T,Read speech,cons,forest
190314AR,deleted,monomorpheme,T,Read speech,cons,east
190314AR,deleted,monomorpheme,D,Read speech,cons,old
190314AR,retained,monomorpheme,D,Read speech,cons,gold
190314AR,retained,monomorpheme,D,Read speech,cons,farmland
190314AR,deleted,monomorpheme,T,Read speech,cons,extinct
190314AR,deleted,monomorpheme,T,Map description,cons,rift
190314AR,retained,monomorpheme,D,Map description,pause,gold
