gender,age,occ,student,occ_code,occ_code,live,town,pc.district,bread,furniture,clothing,gum,footwear,meal,walkway,frozen,prank,group,foot.cut,gas.glass,for.more,one.gone,book.spook,look.luke,fur.bear,singer.finger,pour.poor,eight.ate,weighed.wade,thin.fin,spa.spar,boat.bought,mute.moot,war.wore,fool.full.fall,give.it.me,I.done.it,things.what,you.was,you.wasnt,beaches.was,horses.wasnt,i.werent,i.were,we.was,we.wasnt,they.was,they.wasnt,she.were,she.werent,not.got.it,look.at.them,right.adj,right.n,not.be,was.sat,coming.the,go.cinema,accent_self_id,accent_self_eval_1
Male,42,Academic,No,"1. Higher managerial and professional occupations (e.g. lawyer, doctor, accountant, large business owner etc.)",5,"Yes, for all of that time",Lesmahagow,ML11,Roll,Sofa,Trousers,Chuddy,Gutties or guddies,Dinner,Alley(way),Lolly ice,"Chap door run, chappy, happy chappy, or some other term with 'chap' or 'chappy' in it",Yous(e),Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Rhyme,Don't rhyme,Rhyme,Different,Same,Same,Same,Same,Same,Different,Different,"'Fool' and 'full' sound the same, 'fall' sounds different","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,e. No native speaker of English would say this,a. I'd say this myself,c. I've heard some people use this expression,e. No native speaker of English would say this,e. No native speaker of English would say this,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,Glaswegian,5
Female,22,N/a,No,"1. Higher managerial and professional occupations (e.g. lawyer, doctor, accountant, large business owner etc.)",5,"Yes, for all of that time",Cardiff,CF11,Roll,Sofa,Trousers,(Chewing) gum,Plimsolls,Dinner,Alley(way),Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run",You,Don't rhyme,Don't rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Same,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,c. I've heard some people use this expression,c. I've heard some people use this expression,"Standard English, some words pronounced with South Welsh accent",5
Male,63,Farmer,No,"1. Higher managerial and professional occupations (e.g. lawyer, doctor, accountant, large business owner etc.)",5,"Yes, for all of that time",Chaldon,Cr3,Roll,Settee,Trousers,(Chewing) gum,Plimsolls,Dinner,Passage,Ice lolly,"Knock knock ginger, knock down ginger, knock off ginger, knocky door ginger, or some other term with 'ginger' in it",You,Don't rhyme,Don't rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Same,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,a. I'd say this myself,c. I've heard some people use this expression,c. I've heard some people use this expression,e. No native speaker of English would say this,e. No native speaker of English would say this,"No accent, or southern accent, no real dialect ",4
Male,30,Set designer ,No,"1. Higher managerial and professional occupations (e.g. lawyer, doctor, accountant, large business owner etc.)",5,"Yes, for all of that time",Lewisham,SE6,Roll,Sofa,Trousers,(Chewing) gum,Plimsolls,Dinner,Alley(way),Ice lolly,"Knock knock ginger, knock down ginger, knock off ginger, knocky door ginger, or some other term with 'ginger' in it",You lot,Don't rhyme,Don't rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Same,Same,Same,Same,Same,Different,Different,Same,They all sound different to each other,"d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,a. I'd say this myself,c. I've heard some people use this expression,a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,London accent,3
Female,64,Retired university lecturer ,No,"1. Higher managerial and professional occupations (e.g. lawyer, doctor, accountant, large business owner etc.)",5,"Yes, for all of that time","Cannock, Staffordshire ",WS11,Bap,Sofa,Trousers,(Chewing) gum,Pumps,Dinner,Alley(way),Ice lolly,"Knick knock, nick knock (or some other spelling variant)",You,Rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Rhyme,Same,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,a. I'd say this myself,a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,Standard but with some Midland and Lancashire. Short vowels and slight z instead of s,3
Male,21,Student,Yes,"1. Higher managerial and professional occupations (e.g. lawyer, doctor, accountant, large business owner etc.)",5,"Yes, for all of that time",Ballynahinch,BT24,Bap,Sofa,Trousers,(Chewing) gum,Plimsolls,Dinner,Alley(way),Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run",You guys,Don't rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Different,Same,Same,Same,Different,Different,Different,Same,They all sound different to each other,e. No native speaker of English would say this,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,c. I've heard some people use this expression,c. I've heard some people use this expression,a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,c. I've heard some people use this expression,a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",Northern Irish,4
Female,35,Clinical Psychologist,No,"1. Higher managerial and professional occupations (e.g. lawyer, doctor, accountant, large business owner etc.)",5,"Yes, for all of that time",London,SE23 3UW,Roll,Sofa,Trousers,(Chewing) gum,Pumps,Dinner,Alley(way),Ice lolly,"Knock knock ginger, knock down ginger, knock off ginger, knocky door ginger, or some other term with 'ginger' in it",You guys,Don't rhyme,Rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Same,Same,Same,Same,Same,Different,Different,Same,They all sound different to each other,a. I'd say this myself,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,London but with bits of Sunderland/Leeds thrown in (Mum/University),6
Female ,21,Student,Yes,"1. Higher managerial and professional occupations (e.g. lawyer, doctor, accountant, large business owner etc.)",5,"Yes, for all of that time","Cambridge, then Durham",DH7,Roll,Sofa,Trousers,(Chewing) gum,Plimsolls,Dinner,Alley(way),Ice lolly,Nicky nicky nine doors,You lot,Rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Same,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,a. I'd say this myself,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",a. I'd say this myself,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,c. I've heard some people use this expression,c. I've heard some people use this expression,A mixture of Geordie and RP - is not particularly placeable! ,5
Male,20,Student,Yes,"1. Higher managerial and professional occupations (e.g. lawyer, doctor, accountant, large business owner etc.)",5,"Yes, for all of that time","Leicester, Newtown Linford",LE6,"Bap,Cob","Settee,Sofa",Trousers,(Chewing) gum,Other...,"Dinner,Supper","Alley(way),Passage",Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run","You all,You guys,You lot",Rhyme,Rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Different,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,c. I've heard some people use this expression,e. No native speaker of English would say this,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,e. No native speaker of English would say this,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,e. No native speaker of English would say this,a. I'd say this myself,c. I've heard some people use this expression,c. I've heard some people use this expression,a. I'd say this myself,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,e. No native speaker of English would say this,c. I've heard some people use this expression,Midlands - very neutral,5
Female,21,Student,Yes,"1. Higher managerial and professional occupations (e.g. lawyer, doctor, accountant, large business owner etc.)",5,"Yes, for all of that time",Penicuik,Eh268lt,Roll,Sofa,Trousers,(Chewing) gum,Other...,"Dinner,Tea","Alley(way),Other...",Ice lolly,"Chap door run, chappy, happy chappy, or some other term with 'chap' or 'chappy' in it","You guys,Yous(e)",Don't rhyme,Rhyme,Rhyme,Don't rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Different,Same,Same,Different,Different,Different,Different,Different,"'Fool' and 'full' sound the same, 'fall' sounds different",a. I'd say this myself,a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,a. I'd say this myself,a. I'd say this myself,c. I've heard some people use this expression,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,Soft Scottish (people called me posh as school coz my mum was English so my accent was different),4
